120,119,5,Nirajan,Gurung,Nirajan Gurung,ÿ1994-05-18,,110,,113,121,hycNirajan Gurung.jpeg,,,,,,12/16/2019,Admin
121,120,5,Bishal,Shrestha,Bishal Shrestha,ÿ2000-08-13,,110,,113,121,hycBishal Shrestha.jpeg,,,,,,12/16/2019,Admin
122,121,5,Roshan,Thakuri,Roshan Thakuri,ÿ1997-12-17,,110,,113,121,hycRoshan Thakuri.jpeg,,,,,,12/16/2019,Admin
123,122,5,Samundra,Pudasaini,Samundra Pudasaini,ÿ2000-08-10,,110,,113,121,hycSamundra Pudasaini.jpeg,,,,,,12/16/2019,Admin
124,123,5,Man Bahadur,Tamang (Captain),Man Bahadur Tamang (Captain),ÿ1994-03-03,,110,,113,121,hycMan B Tamang.jpeg,,,,,,12/16/2019,Admin
125,124,5,Bijaya,Shrestha,Bijaya Shrestha,ÿ1999-02-02,,110,,113,121,hycBijaya Shrestha.jpeg,,,,,,12/16/2019,Admin
126,125,5,Tridev,Gurung,Tridev Gurung,ÿ1996-07-20,,110,,113,121,hycTridev Gurung.jpeg,1,,,,,12/16/2019,Admin
127,126,5,Bhison,Gurung,Bhison Gurung,3/17/96,,110,,113,121,hycBhison Gurung.jpeg,,,,,,12/16/2019,Admin
128,127,5,Sanjay,Dhimal,Sanjay Dhimal,ÿ2000-08-17,,110,,113,121,hycSanjay Dhimal.jpeg,,,,,,12/16/2019,Admin
129,128,6,Fode,Fofana,Fode Fofana,ÿ1996-10-12,,110,,120,121,jycFode Fofana.jpeg,,,,,,12/16/2019,Admin
130,129,6,Gautam,Shrestha,Gautam Shrestha,2/21/00,,110,,113,121,jycGautam Shrestha.jpeg,,,,,,12/16/2019,Admin
131,130,6,Kuldip,Karki,Kuldip Karki,ÿ1992-01-16,,110,,113,121,jycKuldip Karki.jpeg,,,,,,12/16/2019,Admin
132,131,6,Suraj Jeu,Thakuri,Suraj Jeu Thakuri,ÿ2000-12-19,,110,,113,121,jycSuraj Jeu Thakuri.jpeg,,,,,,12/16/2019,Admin
133,132,6,Tekendra,Thapa,Tekendra Thapa,ÿ1994-08-18,,110,,113,121,jycTekendra Thapa.jpeg,,,,,,12/16/2019,Admin
134,133,6,Aruj,Singh,Aruj Singh,ÿ1999-10-05,,110,,113,121,jycAruj Singh.jpeg,,,,,1,12/16/2019,Admin
135,134,6,Suraj,Ghimire,Suraj Ghimire,ÿ1995-02-23,,110,,113,121,jycSurajGhimire.jpeg,,,,,,12/16/2019,Admin
136,135,6,Dady junior,Wamba,Dady junior Wamba,1/20/98,,110,,120,121,jycDady J Wamba.jpeg,2,,,,1,12/16/2019,Admin
137,136,6,Dilan,Loktam,Dilan Loktam,ÿ1986-09-19,,110,,113,121,jycDilan Loktam.jpeg,,,,,,12/16/2019,Admin
138,137,6,Sameer,Karki,Sameer Karki,ÿ1992-05-31,,110,,113,121,jycSameer Karki.jpeg,,,,,,12/16/2019,Admin
139,138,6,Bijay,Ghalan,Bijay Ghalan,ÿ1992-10-02,,110,,113,121,jycBijay Ghalan .jpeg,,,,,,12/16/2019,Admin
140,139,6,Bimal,Ghising,Bimal Ghising,ÿ2000-06-19,,110,,113,121,jycBimal Ghising.jpeg,,,,,,12/16/2019,Admin
141,140,6,Manish,Paudel,Manish Paudel,8/11/99,,110,,113,121,jycManish Paudel.jpeg,,,,,,12/16/2019,Admin
142,141,6,Gaurab,Shrestha,Gaurab Shrestha,ÿ1996-10-20,,110,,113,121,jycGaurab Shrestha.jpeg,,,,,,12/16/2019,Admin
143,142,6,Abisek,Waiba,Abisek Waiba,ÿ2004-02-10,,110,,113,121,jycAbisek Waiba.jpeg,,,,,,12/16/2019,Admin
144,143,6,Arun,Blon,Arun Blon,ÿ1998-05-01,,110,,113,121,jycArun Blon.jpeg,,,,,,12/16/2019,Admin
145,144,6,Sujit,Budhathoki,Sujit Budhathoki,10/26/95,,110,,113,121,jycSujit Budhathoki.jpeg,,,,,,12/16/2019,Admin
146,145,6,Yogya,Pradhan,Yogya Pradhan,ÿ1998-06-30,,110,,113,121,jycYogya Pradhan.jpeg,,,,,,12/16/2019,Admin
147,146,6,Bishal,Tamang,Bishal Tamang,9/3/98,,110,,113,121,jycBishal Tamang.jpeg,,,,,,12/16/2019,Admin
148,147,6,Nir Bahadur,Ale,Nir Bahadur Ale,ÿ1992-07-12,,110,,113,121,jycNir Bahadur Ale.jpeg,,,,,,12/16/2019,Admin
149,148,6,Rajeev,Dhungana,Rajeev Dhungana, 1994-11-11,,110,,113,121,jycRajeev Dhungana.jpeg,,,,,,12/16/2019,Admin
150,149,6,Rup Bahadur,Lama,Rup Bahadur Lama,ÿ1994-06-18,,110,,113,121,jycRup B Lama.jpeg,,,,,,12/16/2019,Admin
151,150,6,Sushil Kumar,Yadav,Sushil Kumar Yadav,ÿ1994-08-11,,110,,113,121,jycSushil K Yadav.jpeg,,,,,,12/16/2019,Admin
152,151,6,Adama,Doumbia,Adama Doumbia,ÿ1997-02-28,,110,,120,121,jycAdama Doumbia.jpeg,,,,,,12/16/2019,Admin
153,152,6,Hari,Kathayat,Hari Kathayat,7/13/90,,110,,113,121,jycHari Kathayat.jpeg,,,,,,12/16/2019,Admin
154,153,7,Andres,Nia Tchounkeu,Andres Nia Tchounkeu,2/8/95,,110,,120,121,mcAndres.jpeg,,,,,,12/16/2019,Admin
155,154,7,Ranjit,Dhimal,Ranjit Dhimal,4/4/91,Morang,110,140,113,121,mcRanjit Dhimal.jpeg,,1,,,,12/16/2019,Admin
156,155,7,Buddha Raj,Limbu,Buddha Raj Limbu,9/12/84,Jhapa,110,141,113,121,mcBuddhaChemjong.jpeg,,,,,,12/16/2019,Admin
157,156,7,Peter,Segun,Peter Segun,6/30/93,Morang,110,140,120,121,mcPeter Segun.jpeg,1,,,,,12/16/2019,Admin
158,157,7,Bijay,Dhimal,Bijay Dhimal,10/4/86,Morang,110,140,113,121,mcBijay Dhimal.jpeg,,,,,,12/16/2019,Admin
159,158,7,Abhishek,Rijal,Abhishek Rijal,1/29/00,,110,142,113,121,mcAbhishek Rijal.jpeg,,,,,,12/16/2019,Admin
160,159,7,Rejin,Subba,Rejin Subba,2/5/02,,110,142,113,121,mcRejin Subba.jpeg,1,,,,,12/16/2019,Admin
161,160,7,Biraj,Maharjan(Captain),Biraj Maharjan(Captain),9/18/90,Kathmandu,110,140,113,121,mcBiraj Maharjan.jpeg,,,,,,12/16/2019,Admin
162,161,7,Bishal,Rai,Bishal Rai,9/22/93,Jhapa,110,141,113,121,mcBishalRai.jpeg,,2,,,,12/16/2019,Admin
163,162,7,Dipak,Rai,Dipak Rai,9/10/88,Jhapa,110,142,113,121,mcDipak Rai.jpeg,1,,,,,12/16/2019,Admin
164,163,7,Heman,Gurung,Heman Gurung,10/1/95,,110,141,113,121,mcHeman Gurung.jpeg,,,,,,12/16/2019,Admin
165,164,7,Sujal,Shrestha,Sujal Shrestha,2/4/93,Hetauda,110,141,113,121,mcSujal Shrestha.jpeg,,,,,,12/16/2019,Admin
166,165,7,Bishal,Shrestha,Bishal Shrestha,9/12/90,Kathmandu,110,139,113,121,mcBishal Shrestha,,,2,,,12/16/2019,Admin
167,166,7,Devendra,Tamang,Devendra Tamang,10/21/93,Jhapa,110,140,113,121,mcDevendra Tamang.jpeg,1,1,,,,12/16/2019,Admin
168,167,7,Yogesh,Gurung,Yogesh Gurung,8/4/90,Jhapa,110,141,113,121,mcYogesh Gurung.jpeg,1,,,,,12/16/2019,Admin
169,168,7,Biman Prasad,Rai,Biman Prasad Rai,4/27/96,,110,140,113,121,mc Biman Prasad Rai.jpeg,,,,,,12/16/2019,Admin
170,169,7,Abhishek,Khadgi,Abhishek Khadgi,4/24/94,,110,140,113,121,mcAbhishek Khadgi.jpeg,,,,,,12/16/2019,Admin
171,170,7,Bijay,Dhakal,Bijay Dhakal,5/21/97,,110,140,113,121,mcBijay Dhakal.jpeg,,,,,,12/16/2019,Admin
172,171,7,Binaya Man,Rajbanshi,Binaya Man Rajbanshi,5/30/88,,110,140,113,121,mcBinaya Man Rajbanshi.jpeg,,,,,,12/16/2019,Admin
173,172,7,Dikesh Man,Dangol,Dikesh Man Dangol,8/19/87,,110,141,113,121,mcDikesh Man Dangol.jpeg,,,,,,12/16/2019,Admin
174,173,7,Kushal,Giri,Kushal Giri,9/14/94,,110,139,113,121,mcKushalGiri.jpeg,,,,,,12/16/2019,Admin
175,174,7,Lilen,Karanjit,Lilen Karanjit,12/11/88,,110,141,113,121,mcLilen Karanjit.jpeg,,,,,,12/16/2019,Admin
176,175,7,Manil Ratna,Shahi,Manil Ratna Shahi,3/22/86,,110,141,113,121,mcManil Ratna Shahi.jpeg,,,,,,12/16/2019,Admin
177,176,7,Nabin,Shrestha,Nabin Shrestha,12/16/92,,110,141,113,121,mcNabinShrestha.jpeg,,,,,,12/16/2019,Admin
178,177,7,Pradeep,Karki,Pradeep Karki,11/22/89,,110,142,113,121,mcPradeep Karki.jpeg,,,,,,12/16/2019,Admin
179,178,7,Pramod,Shrestha,Pramod Shrestha,9/5/87,,110,,113,121,mcPramod Shrestha.jpeg,,,,,,12/16/2019,Admin
180,179,7,Surya,Adhikari,Surya Adhikari,10/21/01,,110,,113,121,mcSurya Adhikari.jpeg,,,,,,12/16/2019,Admin
